Enum Name,Bukkit Material Name,Normaler Name,Datei Name,Potion Type,Translation Name
ACACIA_BOAT,ACACIA_BOAT,Akazienboot,item/acacia_boat.png,,
ACACIA_BUTTON,ACACIA_BUTTON,Akazienknopf,customfont/all_items/button_acacia.png,,
ACACIA_CHEST_BOAT,ACACIA_CHEST_BOAT,Akazientruhenboot,item/acacia_chest_boat.png,,
ACACIA_DOOR,ACACIA_DOOR,Akazientür,item/acacia_door.png,,
ACACIA_FENCE,ACACIA_FENCE,Akazienzaun,customfont/all_items/fence_acacia.png,,
ACACIA_FENCE_GATE,ACACIA_FENCE_GATE,Akazienzauntor,customfont/all_items/fence_gate_acacia.png,,
ACACIA_HANGING_SIGN,ACACIA_HANGING_SIGN,Akazienhängeschild,item/acacia_hanging_sign.png,,
ACACIA_LEAVES,ACACIA_LEAVES,Akazienlaub,customfont/all_items/acacia_leaves.png,,
ACACIA_LOG,ACACIA_LOG,Akazienstamm,customfont/all_items/acacia_log.png,,
ACACIA_LOG_STRIPPED,STRIPPED_ACACIA_LOG,Entrindeter Akazienstamm,customfont/all_items/stripped_acacia_log.png,,
ACACIA_PLANKS,ACACIA_PLANKS,Akazienbretter,customfont/all_items/acacia_planks.png,,
ACACIA_PRESSURE_PLATE,ACACIA_PRESSURE_PLATE,Akaziendruckplatte,customfont/all_items/pressure_plate_acacia.png,,
ACACIA_SAPLING,ACACIA_SAPLING,Akaziensetzling,block/acacia_sapling.png,,
ACACIA_SIGN,ACACIA_SIGN,Akazienschild,item/acacia_sign.png,,
ACACIA_SLAB,ACACIA_SLAB,Akazienstufe,customfont/all_items/slab_acacia.png,,
ACACIA_STAIRS,ACACIA_STAIRS,Akazientreppe,customfont/all_items/stairs_acacia.png,,
ACACIA_TRAPDOOR,ACACIA_TRAPDOOR,Akazienfalltür,customfont/all_items/trapdoor_acacia.png,,
ACACIA_WOOD,ACACIA_WOOD,Akazienholz,customfont/all_items/acacia_wood.png,,
ACACIA_WOOD_STRIPPED,STRIPPED_ACACIA_WOOD,Entrindetes Akazienholz,customfont/all_items/stripped_acacia_wood.png,,
ALLIUM,ALLIUM,Zierlauch,block/allium.png,,
AMETHYST_BLOCK,AMETHYST_BLOCK,Amethystblock,customfont/all_items/amethyst_block.png,,
AMETHYST_BUD_LARGE,LARGE_AMETHYST_BUD,Große Amethystknospe,block/large_amethyst_bud.png,,
AMETHYST_BUD_MEDIUM,MEDIUM_AMETHYST_BUD,Mittlere Amethystknospe,block/medium_amethyst_bud.png,,
AMETHYST_BUD_SMALL,SMALL_AMETHYST_BUD,Kleine Amethystknospe,block/small_amethyst_bud.png,,
AMETHYST_CLUSTER,AMETHYST_CLUSTER,Amethysthaufen,block/amethyst_cluster.png,,
AMETHYST_SHARD,AMETHYST_SHARD,Amethystscherbe,item/amethyst_shard.png,,
ANCIENT_DEBRIS,ANCIENT_DEBRIS,Antiker Schrott,customfont/all_items/ancient_debris.png,,
ANDESITE,ANDESITE,Andesit,customfont/all_items/andesite.png,,
ANDESITE_SLAB,ANDESITE_SLAB,Andesitstufe,customfont/all_items/slab_andesite.png,,
ANDESITE_STAIRS,ANDESITE_STAIRS,Andesittreppe,customfont/all_items/stairs_andesite.png,,
